CarNumber,Refund,Fines,Make,Model,Year
H115YO163RUS,1.0,2200.0,Ford,Focus,2010
73467Y96RUS,1.0,800.0,Ford,Focus,1981
O134HE197RUS,1.0,8594.6,Ford,Focus,1997
H968HY161RUS,1.0,2400.0,Ford,Focus,2001
Y654E8750RUS,1.0,500.0,Skoda,Octavia,2016
H963HY161RUS,2.0,2800.0,Ford,Focus,2000
H232YH197RUS,2.0,8600.0,Ford,Focus,2003
7843C8197RUS,2.0,12300.0,Ford,Focus,2002
X791O796RUS,1.0,500.0,Ford,Focus,1981
H958HY161RUS,1.0,1800.0,Ford,Focus,1982
708587163RUS,2.0,1400.0,Ford,Focus,1985
Y973O8197RUS,2.0,8594.6,Ford,Focus,2007
97977H178RUS,1.0,1000.0,Ford,Focus,2006
H917TC36RUS,2.0,4000.0,Ford,Focus,1987
X786CO96RUS,1.0,1000.0,Ford,Focus,2011
Y7709C197RUS,1.0,500.0,Ford,Focus,2011
8513XX154RUS,1.0,1500.0,Ford,Focus,1982
T870X7163RUS,2.0,2000.0,Skoda,Octavia,2007
8818C877RUS,1.0,2500.0,Volkswagen,Passat,2013
T395OT197RUS,2.0,8594.6,Volkswagen,Touareg,1987
K327T8197RUS,2.0,20800.0,Volkswagen,Golf,1990
8311XX154RUS,2.0,8600.0,Ford,Focus,2015
X423MK197RUS,2.0,14300.0,Ford,Focus,1989
96429X178RUS,1.0,2600.0,Ford,Focus,2007
O275O7161RUS,2.0,16600.0,Ford,Focus,1988
7789KT197RUS,2.0,12600.0,Ford,Focus,2016
E28877161RUS,1.0,1000.0,Ford,Focus,1985
T6068M116RUS,1.0,1000.0,Ford,Focus,2008
9498KX178RUS,2.0,1600.0,Ford,Focus,2008
99209X178RUS,1.0,500.0,Skoda,Octavia,2014
T6449O50RUS,2.0,8594.6,Ford,Focus,2010
9683EC178RUS,2.0,26000.0,Ford,Focus,2012
Y353O8197RUS,2.0,21800.0,Ford,Focus,1993
O719MM163RUS,2.0,2300.0,Ford,Focus,2015
E535MM199RUS,1.0,500.0,Volkswagen,Touareg,1991
Y352O8197RUS,2.0,103600.0,Ford,Focus,1984
7788KT197RUS,2.0,12000.0,Ford,Focus,2003
E807HE77RUS,2.0,4500.0,Ford,Focus,1999
M516CH161RUS,1.0,1000.0,Ford,Focus,2000
89587X197RUS,1.0,8594.6,Toyota,Camry,1987
7781KT197RUS,2.0,600.0,Ford,Focus,1995
E645TH36RUS,1.0,2400.0,Ford,Focus,2013
Y302E877RUS,1.0,500.0,Ford,Focus,2006
M058XE36RUS,2.0,8500.0,Skoda,Octavia,1984
7830C8197RUS,1.0,5100.0,Ford,Focus,2001
8166XX154RUS,1.0,2400.0,Ford,Focus,1992
M589CH197RUS,2.0,7900.0,Volkswagen,,1991
9408H7178RUS,1.0,1000.0,Skoda,Octavia,1984
H387TM197RUS,2.0,1600.0,Volkswagen,Passat,1995
8049HT125RUS,1.0,500.0,Ford,Focus,1986
9698MO178RUS,2.0,18400.0,Volkswagen,Golf,1999
8685HE154RUS,1.0,1000.0,Ford,Focus,2018
7177TT36RUS,1.0,1000.0,Ford,Focus,1987
O77997197RUS,1.0,22400.0,Ford,Focus,2015
Y234E877RUS,1.0,8594.6,Ford,Focus,2017
97987H178RUS,2.0,5000.0,Ford,Focus,2000
X257HE161RUS,2.0,10000.0,Ford,Focus,1998
T399KX197RUS,2.0,10200.0,Ford,Focus,1982
H957HY161RUS,1.0,2000.0,Ford,Focus,2008
K379HY161RUS,1.0,200.0,Volkswagen,Golf,2011
T654HT96RUS,1.0,4000.0,Toyota,Corolla,2014
8439XX154RUS,2.0,4600.0,Ford,Focus,2018
Y965EE197RUS,2.0,9600.0,Ford,Focus,1983
X758HY197RUS,,24200.0,Ford,Focus,2011
M0279X197RUS,2.0,180000.0,Ford,Focus,2014
H224X836RUS,1.0,3500.0,Ford,Focus,1980
E6849O154RUS,1.0,200.0,Volkswagen,Golf,2016
O83797197RUS,2.0,75900.0,Ford,Focus,2015
9402KK197RUS,,8594.6,Toyota,Camry,2001
7368C8197RUS,1.0,4400.0,Ford,Focus,1989
H427YH197RUS,2.0,29700.0,Volkswagen,Passat,1986
9583EY178RUS,2.0,4300.0,Ford,Focus,2010
Y038E877RUS,2.0,6500.0,Ford,Focus,2000
9822H8161RUS,1.0,100.0,Ford,Focus,1982
7826C8197RUS,2.0,3600.0,Ford,Focus,1983
E160YX77RUS,2.0,2200.0,Ford,Focus,1994
82337X197RUS,2.0,2100.0,Ford,Focus,2007
X757HY197RUS,2.0,6800.0,Ford,Focus,1985
X765HY197RUS,2.0,13900.0,Ford,Focus,1984
934497178RUS,2.0,1900.0,Skoda,Octavia,2001
K2807K154RUS,1.0,1000.0,Ford,Focus,2004
T8008Y125RUS,2.0,1000.0,Ford,Focus,2018
X765HY197RUS,2.0,27800.0,Ford,Focus,2008
Y960EE197RUS,1.0,8594.6,Skoda,Octavia,1996
7840C8197RUS,2.0,7000.0,Ford,Focus,2017
K846YE77RUS,2.0,2000.0,Volkswagen,Passat,1982
E40577152RUS,1.0,500.0,Ford,Focus,1986
7827C8197RUS,1.0,7500.0,Ford,Focus,1995
Y655E8750RUS,2.0,5200.0,Skoda,Octavia,2007
H003MH197RUS,2.0,2900.0,Ford,Focus,1987
Y7699C197RUS,2.0,15800.0,Ford,Focus,1990
Y8399C197RUS,2.0,1800.0,Ford,Focus,2016
9135X938RUS,2.0,4400.0,Ford,Focus,2002
H385TM197RUS,1.0,9500.0,Volkswagen,Passat,1997
9428EX178RUS,1.0,1000.0,Ford,Focus,2007
H837YK197RUS,2.0,4200.0,Audi,,1986
O83597197RUS,2.0,4000.0,Ford,Focus,1995
E42577152RUS,2.0,8594.6,Ford,Focus,1997
E53277152RUS,1.0,1000.0,Ford,Focus,2018
C476M7161RUS,2.0,1500.0,Ford,Focus,1991
9943KK197RUS,2.0,29700.0,Ford,Focus,2007
8165XX154RUS,1.0,4900.0,Ford,Focus,1990
T476KX197RUS,1.0,1500.0,Ford,Focus,2016
C422X938RUS,2.0,10500.0,Ford,Focus,2005
K328T8197RUS,1.0,300.0,Volkswagen,Golf,2004
9466EX178RUS,2.0,800.0,Ford,Focus,2017
X256HE161RUS,1.0,2400.0,Ford,Focus,1983
Y275O8197RUS,1.0,8594.6,Ford,Focus,2002
8165XX154RUS,2.0,4200.0,Ford,Focus,1994
E432XX77RUS,2.0,13000.0,Toyota,Camry,2007
7830C8197RUS,2.0,10200.0,Ford,Focus,2017
H217X836RUS,1.0,2000.0,Ford,Focus,2001
Y316E877RUS,2.0,7000.0,Ford,Focus,2009
934497178RUS,1.0,3800.0,Skoda,Octavia,2012
O77997197RUS,2.0,8594.6,Ford,Focus,2003
8601XX154RUS,1.0,1300.0,Skoda,Octavia,1997
M741T9152RUS,2.0,1000.0,Ford,Focus,2013
9883HX152RUS,2.0,1000.0,Ford,Focus,1992
Y6829Y50RUS,1.0,500.0,Ford,Focus,1999
H004MH197RUS,1.0,39600.0,Ford,Focus,2013
704987163RUS,2.0,8594.6,Ford,Focus,2004
E160YX77RUS,2.0,1100.0,Ford,Focus,2011
E316EH197RUS,1.0,1300.0,Volkswagen,,2006
X758HY197RUS,2.0,72600.0,Ford,Focus,2007
O22297197RUS,1.0,500.0,Ford,Focus,2012
O02597197RUS,1.0,800.0,Ford,Focus,1983
X015HY197RUS,2.0,16000.0,Toyota,Corolla,1989
T769OT197RUS,2.0,30900.0,Volkswagen,Golf,1999
Y778EE197RUS,1.0,24000.0,Volkswagen,Golf,2000
7829C8197RUS,2.0,1800.0,Ford,Focus,2011
T272HH163RUS,1.0,1000.0,Ford,Focus,1991
T018OX197RUS,2.0,3400.0,Toyota,Corolla,2015
Y255E877RUS,1.0,2500.0,Ford,Focus,2001
9182CE154RUS,2.0,13200.0,Ford,Focus,1986
9697MO178RUS,1.0,1000.0,Volkswagen,Golf,1980
C477M7161RUS,2.0,5000.0,Ford,Focus,2006
T686EO197RUS,1.0,500.0,Toyota,Camry,1992
C590EY154RUS,2.0,8594.6,Ford,Focus,2000
T941CC96RUS,1.0,2000.0,Ford,Focus,1994
O22397197RUS,2.0,55500.0,Ford,Focus,1997
X242EC197RUS,2.0,10600.0,Volkswagen,Golf,2009
T020OX197RUS,1.0,34300.0,Toyota,Corolla,1994
E33577152RUS,2.0,2000.0,Ford,Focus,1985
Y973O8197RUS,1.0,34800.0,Ford,Focus,1988
E773EH197RUS,2.0,6800.0,Ford,Focus,2012
T6428M116RUS,2.0,6000.0,Ford,Focus,1984
Y7129Y50RUS,2.0,32000.0,Ford,Focus,1995
Y418EX197RUS,2.0,900.0,Volkswagen,Passat,1982
Y7689C197RUS,1.0,27000.0,Ford,Focus,2001
7066C8197RUS,1.0,3000.0,Volkswagen,Passat,1987
E52877152RUS,1.0,1500.0,Ford,Focus,2000
7369C8197RUS,2.0,8594.6,Ford,Focus,2016
Y166O8161RUS,1.0,100.0,Ford,Focus,1997
705287163RUS,2.0,2000.0,Ford,Focus,2000
K559KC161RUS,1.0,100.0,Ford,Focus,2003
M0299X197RUS,2.0,67200.0,Ford,Focus,2007
92928M178RUS,1.0,600.0,Ford,Focus,1986
9822H8161RUS,1.0,200.0,Ford,Focus,2018
8603T8154RUS,1.0,3000.0,Ford,Focus,2014
84418C154RUS,1.0,3000.0,Ford,Focus,1995
E53488152RUS,2.0,1800.0,Ford,Focus,1987
9697MO178RUS,1.0,500.0,Volkswagen,Golf,2004
Y7709C197RUS,1.0,1500.0,Ford,Focus,2006
90159H178RUS,2.0,600.0,Volkswagen,Passat,2012
C798ET50RUS,1.0,10000.0,Ford,Focus,2002
Y193O8161RUS,2.0,600.0,Ford,Focus,2005
7248C8197RUS,2.0,8600.0,Ford,Mondeo,1986
Y275O8197RUS,1.0,6000.0,Ford,Focus,1989
K357YE77RUS,1.0,5000.0,Volkswagen,Golf,1999
9697MO178RUS,1.0,8594.6,Volkswagen,Golf,2012
E0697X152RUS,1.0,2000.0,Skoda,Octavia,1989
E40877152RUS,1.0,1000.0,Ford,Focus,1982
Y351O8197RUS,1.0,1500.0,Ford,Focus,1982
Y356O8197RUS,2.0,45900.0,Ford,Focus,2014
O6939X163RUS,1.0,7200.0,Ford,Focus,1992
Y7649C197RUS,2.0,5300.0,Ford,Focus,2007
9935TE152RUS,2.0,2500.0,Ford,Focus,1983
704687163RUS,2.0,1400.0,Ford,Focus,2013
7197TT36RUS,2.0,6800.0,Ford,Focus,1990
X765HY197RUS,2.0,41700.0,Ford,Focus,1990
H115YO163RUS,1.0,8594.6,Ford,Focus,1984
O143HO197RUS,2.0,30300.0,Toyota,Corolla,2007
K436MO152RUS,1.0,1500.0,Ford,Focus,1980
9938OH154RUS,1.0,500.0,Skoda,Octavia,1982
E34877152RUS,2.0,6100.0,Ford,Focus,1982
E5878M777RUS,1.0,8500.0,Skoda,Octavia,2012
E33577152RUS,1.0,1000.0,Ford,Focus,1991
7844C8197RUS,2.0,34000.0,Ford,Focus,1999
X256HE161RUS,,800.0,Ford,Focus,1996
C584EY154RUS,1.0,500.0,Ford,Focus,1985
E28977161RUS,2.0,1500.0,Ford,Focus,2003
T016OX197RUS,2.0,3200.0,Toyota,Corolla,1986
H889YK197RUS,,10600.0,Ford,Focus,1981
7363C8197RUS,2.0,1600.0,Ford,Focus,2012
T6039O50RUS,2.0,1500.0,Ford,Focus,2005
7365C8197RUS,1.0,2300.0,Ford,Focus,2003
Y967O8197RUS,1.0,4000.0,Ford,Focus,1989
E816HE77RUS,1.0,3000.0,Ford,Focus,1988
T6329O50RUS,1.0,500.0,Ford,Focus,1990
X504X8197RUS,1.0,8594.6,Skoda,Octavia,1987
M581CH197RUS,1.0,200.0,Ford,Focus,2008
X523OM161RUS,2.0,800.0,Ford,Focus,1980
C412X938RUS,1.0,1000.0,Ford,Focus,2005
7831C8197RUS,2.0,3400.0,Ford,Focus,1985
8164XX154RUS,2.0,4400.0,Ford,Focus,2001
H004MH197RUS,2.0,9900.0,Ford,Focus,2009
X015HY197RUS,2.0,24000.0,Toyota,Corolla,1980
T6419O50RUS,2.0,9000.0,Ford,Focus,1991
E822TH36RUS,2.0,12900.0,Ford,Focus,1982
8437XX154RUS,1.0,8594.6,Ford,Focus,1984
E445TC197RUS,1.0,3400.0,Ford,Focus,1985
C515X938RUS,1.0,1900.0,Ford,Focus,1988
7172TT36RUS,2.0,5700.0,Ford,Focus,1992
8436XX154RUS,1.0,800.0,Ford,Focus,2016
E79988152RUS,1.0,500.0,Ford,Focus,2006
8180XX154RUS,1.0,2800.0,Ford,Focus,2012
84438C154RUS,2.0,3800.0,Ford,Focus,1989
T6309O50RUS,2.0,24000.0,Ford,Focus,2004
T6129O50RUS,2.0,6000.0,Ford,Focus,2016
K339T8197RUS,2.0,19200.0,Ford,Focus,1990
8685HE154RUS,1.0,2000.0,Ford,Focus,2003
X782CO96RUS,1.0,8594.6,Ford,Focus,2001
E591HE77RUS,2.0,6000.0,Ford,Focus,2005
89587X197RUS,1.0,4400.0,Toyota,Camry,2005
9499KX178RUS,1.0,2300.0,Ford,Focus,2015
8818C877RUS,,5000.0,Volkswagen,Passat,2018
Y357O8197RUS,1.0,2200.0,Ford,Focus,1986
Y652O8197RUS,,5800.0,Volkswagen,Touareg,1990
X767HY197RUS,2.0,18000.0,Ford,Focus,1987
H220X836RUS,1.0,7000.0,Ford,Focus,2007
H218X836RUS,2.0,17500.0,Ford,Focus,1994
T913CT197RUS,1.0,7900.0,Toyota,Camry,1996
T6439O50RUS,2.0,16500.0,Ford,Focus,2008
7784KT197RUS,2.0,13200.0,Ford,Focus,1992
X286TC36RUS,2.0,8594.6,Ford,Focus,2014
O752MX161RUS,1.0,1300.0,Ford,Focus,2001
Y7449Y50RUS,1.0,8000.0,Ford,Focus,1998
H115YO163RUS,2.0,1100.0,Ford,Focus,1982
8818C877RUS,2.0,10000.0,Volkswagen,Passat,1997
92828M178RUS,1.0,300.0,Ford,Focus,2007
Y650E8750RUS,1.0,500.0,Skoda,Octavia,2012
X767HY197RUS,2.0,36000.0,Ford,Focus,1987
9498KX178RUS,2.0,800.0,Ford,Focus,2000
83298C154RUS,1.0,100.0,Ford,Focus,1999
8321XX154RUS,1.0,100.0,Ford,Focus,2000
8316XX154RUS,1.0,2200.0,Ford,Focus,1995
T017OX197RUS,2.0,12700.0,Toyota,Corolla,2017
H977HY161RUS,1.0,8594.6,Ford,Focus,2013
7788KT197RUS,2.0,8594.6,Ford,Focus,2018
X522OM161RUS,1.0,1500.0,Ford,Focus,2016
O085E8197RUS,1.0,300.0,Volkswagen,Golf,1996
8166XX154RUS,1.0,600.0,Ford,Focus,2014
705387163RUS,2.0,700.0,Ford,Focus,1993
O017KO197RUS,1.0,800.0,Ford,Focus,2014
X4138H125RUS,1.0,300.0,Ford,Focus,2012
8441XX154RUS,1.0,500.0,Ford,Focus,1992
M0269X197RUS,2.0,8594.6,Ford,Focus,1999
7781KT197RUS,1.0,1200.0,Ford,Focus,1989
T483CT96RUS,1.0,500.0,Ford,Focus,2010
T940CC96RUS,2.0,1500.0,Ford,Focus,1992
C58078163RUS,1.0,100.0,Ford,Focus,2010
O02397197RUS,1.0,4000.0,Volkswagen,Jetta,1998
T018OX197RUS,2.0,6800.0,Toyota,Corolla,2009
H963HY161RUS,1.0,1400.0,Ford,Focus,1984
8611T8154RUS,2.0,2000.0,Ford,Focus,2017
704787163RUS,2.0,2800.0,Ford,Focus,2008
E53488152RUS,2.0,3600.0,Ford,Focus,1980
Y7129Y50RUS,1.0,16000.0,Ford,Focus,2009
C313MM99RUS,1.0,7500.0,Toyota,Camry,2013
8611T8154RUS,1.0,1000.0,Ford,Focus,1983
X763HY197RUS,2.0,9500.0,Ford,Focus,2015
M386M9197RUS,2.0,5800.0,Volkswagen,Golf,1983
8605T8154RUS,1.0,1000.0,Ford,Focus,2002
O22297197RUS,1.0,8594.6,Ford,Focus,2000
7147OE161RUS,1.0,500.0,Ford,Focus,2005
O134HE197RUS,2.0,7600.0,Ford,Focus,1993
7361C8197RUS,1.0,1600.0,Ford,Focus,2003
Y359EY197RUS,2.0,3000.0,Skoda,Octavia,2016
T6559O50RUS,1.0,4000.0,Ford,Focus,1995
E53277152RUS,1.0,500.0,Ford,Focus,2003
X015HY197RUS,1.0,8000.0,Toyota,Corolla,2006
9469EX178RUS,2.0,2100.0,Ford,Focus,2000
Y6839Y50RUS,2.0,3000.0,Ford,Focus,1995
H237YH197RUS,1.0,600.0,Ford,Focus,2008
T948OM96RUS,1.0,2000.0,Ford,Focus,2004
T395KX197RUS,2.0,15200.0,Ford,Focus,1993
M301CH161RUS,1.0,8000.0,Ford,Focus,1997
M581CH197RUS,1.0,100.0,Ford,Focus,2008
E79988152RUS,1.0,1500.0,Ford,Focus,1987
9496KX178RUS,1.0,500.0,Ford,Focus,2018
T6319O50RUS,2.0,8594.6,Ford,Focus,1985
H305T8197RUS,1.0,28100.0,Ford,Focus,2003
8201XX154RUS,2.0,2600.0,Ford,Focus,1991
O64297197RUS,1.0,300.0,Ford,Focus,1980
9523M8178RUS,1.0,600.0,Skoda,Octavia,2002
Y273O8197RUS,2.0,52600.0,Ford,Focus,2006
T6229O50RUS,2.0,2500.0,Ford,Focus,2014
9943KK197RUS,2.0,19800.0,Ford,Focus,1984
X023HY197RUS,2.0,10200.0,Volvo,,2000
8226XX154RUS,2.0,1000.0,Ford,Focus,1992
Y038TO197RUS,1.0,7600.0,Toyota,Corolla,1989
M0289X197RUS,2.0,40600.0,Ford,Focus,2002
E811HE77RUS,2.0,7000.0,Ford,Focus,1980
X795O796RUS,1.0,2000.0,Ford,Focus,1990
O39997197RUS,1.0,9000.0,Ford,Focus,2002
97968K152RUS,2.0,500.0,Ford,Focus,1989
K339T8197RUS,2.0,8594.6,Ford,Focus,2017
H219X836RUS,1.0,1600.0,Ford,Focus,2016
T6169O50RUS,1.0,500.0,Ford,Focus,1986
Y352O8197RUS,2.0,25900.0,Ford,Focus,1980
94178K154RUS,1.0,500.0,Ford,Focus,2010
7365C8197RUS,2.0,6900.0,Ford,Focus,1995
9467EX178RUS,2.0,3700.0,Ford,Focus,1991
O78097197RUS,2.0,1400.0,Ford,Focus,2017
X5707X161RUS,2.0,500.0,Volkswagen,Passat,2011
Y232E877RUS,2.0,5000.0,Ford,Focus,1981
Y388E877RUS,2.0,19000.0,Ford,Focus,1981
X255HE161RUS,1.0,400.0,Ford,Focus,1982
E552MO152RUS,1.0,8594.6,Ford,Focus,2016
97998K152RUS,2.0,6300.0,Ford,Focus,2004
Y963O8197RUS,2.0,21600.0,Ford,Focus,1991
Y778EE197RUS,2.0,168000.0,Volkswagen,Golf,2010
T654HT96RUS,2.0,2000.0,Toyota,Corolla,2002
T477KX197RUS,2.0,94000.0,Ford,Focus,1986
T2639T116RUS,1.0,3000.0,Ford,Focus,2010
O49797197RUS,2.0,5300.0,Ford,Focus,1995
O83597197RUS,2.0,8000.0,Ford,Focus,2004
H387TM197RUS,2.0,3200.0,Volkswagen,Passat,1985
O68897197RUS,1.0,8200.0,Ford,Focus,1989
72457Y96RUS,1.0,900.0,Ford,Focus,2009
7064C8197RUS,1.0,12800.0,Volkswagen,Passat,1990
E948C8152RUS,2.0,6000.0,Ford,Focus,1990
C514X938RUS,2.0,8594.6,Ford,Focus,1984
C589EY154RUS,1.0,4500.0,Ford,Focus,1996
K899T8197RUS,2.0,15400.0,Ford,Focus,2016
T6418M116RUS,2.0,24600.0,Ford,Focus,2006
8607XX154RUS,2.0,2400.0,Skoda,Octavia,1983
92778M178RUS,2.0,3000.0,Ford,Focus,1990
T288CT96RUS,1.0,4500.0,Ford,Focus,2001
9886HX152RUS,2.0,2900.0,Ford,Focus,1998
C583EY154RUS,1.0,1000.0,Ford,Focus,1981
7788KT197RUS,1.0,20000.0,Ford,Focus,1996
T016OX197RUS,2.0,9600.0,Toyota,Corolla,2004
T6419O50RUS,2.0,27000.0,Ford,Focus,1981
C592EY154RUS,1.0,1000.0,Ford,Focus,1991
T6459O50RUS,1.0,2000.0,Ford,Focus,2007
Y356O8197RUS,2.0,8594.6,Ford,Focus,1997
X759HY197RUS,2.0,12500.0,Ford,Focus,1995
705787163RUS,1.0,100.0,Ford,Focus,2012
Y973O8197RUS,1.0,69600.0,Ford,Focus,2009
92898M178RUS,1.0,1600.0,Ford,Focus,1983
9671EC178RUS,1.0,600.0,Ford,Focus,2010
M302CH161RUS,1.0,500.0,Ford,Focus,2016
X023HY197RUS,2.0,6800.0,Volvo,,2007
M578CH197RUS,2.0,9000.0,Ford,Focus,2004
O77997197RUS,2.0,5600.0,Ford,Focus,2013
7368C8197RUS,2.0,8800.0,Ford,Focus,2003
9683EC178RUS,2.0,6500.0,Ford,Focus,1993
Y207O8161RUS,1.0,500.0,Ford,Focus,2004
96659X178RUS,1.0,2700.0,Ford,Focus,2008
T912CT197RUS,2.0,19800.0,Toyota,Camry,2014
7183TT36RUS,2.0,16200.0,Ford,Focus,1980
89557X197RUS,2.0,22400.0,Toyota,Camry,2008
E773EH197RUS,2.0,8594.6,Ford,Focus,2000
Y359O8197RUS,1.0,2000.0,Ford,Focus,2016
K2817K154RUS,1.0,4500.0,Ford,Focus,2012
X758HY197RUS,2.0,145200.0,Ford,Focus,2018
Y964O8197RUS,1.0,1000.0,Ford,Focus,1980
H967HY161RUS,2.0,4500.0,Ford,Focus,1992
E394MO152RUS,2.0,10500.0,Ford,Focus,2018
O50699163RUS,1.0,1100.0,Ford,Focus,1984
9463EX178RUS,1.0,1400.0,Ford,Focus,1988
E53677152RUS,2.0,5500.0,Ford,Focus,2001
K338T8197RUS,2.0,17400.0,Ford,Focus,2005
Y4298M777RUS,2.0,2000.0,Skoda,Octavia,2008
Y687HM197RUS,1.0,8594.6,BMW,,2012
8311XX154RUS,2.0,4300.0,Ford,Focus,1988
98037H178RUS,2.0,2500.0,Ford,Focus,1999
7828C8197RUS,2.0,6700.0,Ford,Focus,1996
H980HY161RUS,2.0,1800.0,Ford,Focus,1987
H906YK197RUS,1.0,12000.0,Ford,Focus,2006
7199MT197RUS,1.0,9300.0,Volkswagen,Golf,1999
X908XC197RUS,2.0,46000.0,Volkswagen,Jetta,1986
T171CC96RUS,2.0,2000.0,Ford,Focus,2000
X4108H125RUS,2.0,1300.0,Ford,Focus,2006
Y966O8197RUS,2.0,10400.0,Ford,Focus,2018
K2797K154RUS,2.0,2400.0,Ford,Focus,1996
7089H8163RUS,2.0,4400.0,Toyota,Corolla,2002
9883HX152RUS,1.0,500.0,Ford,Focus,1981
7841C8197RUS,1.0,12000.0,Ford,Focus,1989
9940KK197RUS,1.0,8594.6,Ford,Focus,2004
H224X836RUS,2.0,7000.0,Ford,Focus,1980
H971HY161RUS,2.0,7400.0,Ford,Focus,1980
M0269X197RUS,2.0,20600.0,Ford,Focus,1995
E316EH197RUS,1.0,1300.0,Volkswagen,Touareg,1996
X257HE161RUS,1.0,5000.0,Ford,Focus,2005
H844YH197RUS,2.0,3000.0,Ford,Focus,2011
9523M8178RUS,2.0,300.0,Skoda,Octavia,1990
E33477152RUS,1.0,500.0,Ford,Focus,2013
Y156E877RUS,2.0,7500.0,Ford,Focus,1983
E396MO152RUS,2.0,3000.0,Ford,Focus,2001
E0697X152RUS,2.0,8594.6,Skoda,Octavia,1984
Y969O8197RUS,1.0,15600.0,Ford,Focus,2001
9028CO161RUS,1.0,1500.0,Ford,Focus,1992
7840C8197RUS,2.0,3500.0,Ford,Focus,2016
T6249O50RUS,2.0,8500.0,Ford,Focus,1982
E53677152RUS,2.0,11000.0,Ford,Focus,2006
E42377152RUS,2.0,3000.0,Ford,Focus,2016
9941KK197RUS,1.0,800.0,Ford,Focus,1997
E28877161RUS,1.0,500.0,Ford,Focus,1993
M0299X197RUS,2.0,19200.0,Ford,Focus,2009
M372CH197RUS,1.0,21600.0,Ford,Focus,2009
K040CC197RUS,2.0,3600.0,Ford,Focus,1986
E41577152RUS,2.0,3000.0,Ford,Focus,2014
9763HY161RUS,1.0,900.0,Ford,Focus,1998
T535ET96RUS,2.0,3000.0,Ford,Focus,1996
92918M178RUS,2.0,7600.0,Ford,Focus,1983
Y655E8750RUS,1.0,2600.0,Skoda,Octavia,1983
K2797K154RUS,1.0,8594.6,Ford,Focus,2002
K559KC161RUS,1.0,200.0,Ford,Focus,2018
7369C8197RUS,2.0,10100.0,Ford,Focus,2018
8321XX154RUS,1.0,200.0,Ford,Focus,1992
O134HE197RUS,2.0,11400.0,Ford,Focus,2001
H961HY161RUS,2.0,2500.0,Ford,Focus,1990
M2169X197RUS,2.0,3100.0,Ford,Focus,1988
707987163RUS,1.0,1100.0,Ford,Focus,2001
8234XX154RUS,1.0,1300.0,Ford,Focus,2007
X759HY197RUS,1.0,37500.0,Ford,Focus,2016
O83697197RUS,2.0,6100.0,Ford,Focus,1996
92918M178RUS,1.0,1900.0,Ford,Focus,2013
92928M178RUS,1.0,1200.0,Ford,Focus,2000
E52677152RUS,2.0,2500.0,Ford,Focus,2002
8451M7154RUS,1.0,500.0,Ford,Focus,2016
9589EY178RUS,1.0,8594.6,Ford,Focus,1987
H907YK197RUS,2.0,7100.0,Ford,Focus,2016
O39897197RUS,2.0,3800.0,Ford,Focus,2011
M3879X197RUS,,6300.0,Volkswagen,Touareg,2006
C299K9154RUS,1.0,500.0,Ford,Focus,2001
M0299X197RUS,1.0,9600.0,Ford,Focus,1994
8437XX154RUS,2.0,800.0,Ford,Focus,2008
9468EX178RUS,1.0,4000.0,Ford,Focus,1983
M375CH197RUS,2.0,18100.0,Ford,Focus,2012
H982HY161RUS,1.0,300.0,Ford,Focus,2015
8201XX154RUS,1.0,7800.0,Ford,Focus,2005
